Season,Slot,StrongSeed,WeakSeed
1998,R1W1,W01,W16
1998,R1W2,W02,W15
1998,R1W3,W03,W14
1998,R1W4,W04,W13
1998,R1W5,W05,W12
1998,R1W6,W06,W11
1998,R1W7,W07,W10
1998,R1W8,W08,W09
1998,R1X1,X01,X16
1998,R1X2,X02,X15
1998,R1X3,X03,X14
1998,R1X4,X04,X13
1998,R1X5,X05,X12
1998,R1X6,X06,X11
1998,R1X7,X07,X10
1998,R1X8,X08,X09
1998,R1Y1,Y01,Y16
1998,R1Y2,Y02,Y15
1998,R1Y3,Y03,Y14
1998,R1Y4,Y04,Y13
1998,R1Y5,Y05,Y12
1998,R1Y6,Y06,Y11
1998,R1Y7,Y07,Y10
1998,R1Y8,Y08,Y09
1998,R1Z1,Z01,Z16
1998,R1Z2,Z02,Z15
1998,R1Z3,Z03,Z14
1998,R1Z4,Z04,Z13
1998,R1Z5,Z05,Z12
1998,R1Z6,Z06,Z11
1998,R1Z7,Z07,Z10
1998,R1Z8,Z08,Z09
1998,R2W1,R1W1,R1W8
1998,R2W2,R1W2,R1W7
1998,R2W3,R1W3,R1W6
1998,R2W4,R1W4,R1W5
1998,R2X1,R1X1,R1X8
1998,R2X2,R1X2,R1X7
1998,R2X3,R1X3,R1X6
1998,R2X4,R1X4,R1X5
1998,R2Y1,R1Y1,R1Y8
1998,R2Y2,R1Y2,R1Y7
1998,R2Y3,R1Y3,R1Y6
1998,R2Y4,R1Y4,R1Y5
1998,R2Z1,R1Z1,R1Z8
1998,R2Z2,R1Z2,R1Z7
1998,R2Z3,R1Z3,R1Z6
1998,R2Z4,R1Z4,R1Z5
1998,R3W1,R2W1,R2W4
1998,R3W2,R2W2,R2W3
1998,R3X1,R2X1,R2X4
1998,R3X2,R2X2,R2X3
1998,R3Y1,R2Y1,R2Y4
1998,R3Y2,R2Y2,R2Y3
1998,R3Z1,R2Z1,R2Z4
1998,R3Z2,R2Z2,R2Z3
1998,R4W1,R3W1,R3W2
1998,R4X1,R3X1,R3X2
1998,R4Y1,R3Y1,R3Y2
1998,R4Z1,R3Z1,R3Z2
1998,R5WX,R4W1,R4X1
1998,R5YZ,R4Y1,R4Z1
1998,R6CH,R5WX,R5YZ
1999,R1W1,W01,W16
1999,R1W2,W02,W15
1999,R1W3,W03,W14
1999,R1W4,W04,W13
1999,R1W5,W05,W12
1999,R1W6,W06,W11
1999,R1W7,W07,W10
1999,R1W8,W08,W09
1999,R1X1,X01,X16
1999,R1X2,X02,X15
1999,R1X3,X03,X14
1999,R1X4,X04,X13
1999,R1X5,X05,X12
1999,R1X6,X06,X11
1999,R1X7,X07,X10
1999,R1X8,X08,X09
1999,R1Y1,Y01,Y16
1999,R1Y2,Y02,Y15
1999,R1Y3,Y03,Y14
1999,R1Y4,Y04,Y13
1999,R1Y5,Y05,Y12
1999,R1Y6,Y06,Y11
1999,R1Y7,Y07,Y10
1999,R1Y8,Y08,Y09
1999,R1Z1,Z01,Z16
1999,R1Z2,Z02,Z15
1999,R1Z3,Z03,Z14
1999,R1Z4,Z04,Z13
1999,R1Z5,Z05,Z12
1999,R1Z6,Z06,Z11
1999,R1Z7,Z07,Z10
1999,R1Z8,Z08,Z09
1999,R2W1,R1W1,R1W8
1999,R2W2,R1W2,R1W7
1999,R2W3,R1W3,R1W6
1999,R2W4,R1W4,R1W5
1999,R2X1,R1X1,R1X8
1999,R2X2,R1X2,R1X7
1999,R2X3,R1X3,R1X6
1999,R2X4,R1X4,R1X5
1999,R2Y1,R1Y1,R1Y8
1999,R2Y2,R1Y2,R1Y7
1999,R2Y3,R1Y3,R1Y6
1999,R2Y4,R1Y4,R1Y5
1999,R2Z1,R1Z1,R1Z8
1999,R2Z2,R1Z2,R1Z7
1999,R2Z3,R1Z3,R1Z6
1999,R2Z4,R1Z4,R1Z5
1999,R3W1,R2W1,R2W4
1999,R3W2,R2W2,R2W3
1999,R3X1,R2X1,R2X4
1999,R3X2,R2X2,R2X3
1999,R3Y1,R2Y1,R2Y4
1999,R3Y2,R2Y2,R2Y3
1999,R3Z1,R2Z1,R2Z4
1999,R3Z2,R2Z2,R2Z3
1999,R4W1,R3W1,R3W2
1999,R4X1,R3X1,R3X2
1999,R4Y1,R3Y1,R3Y2
1999,R4Z1,R3Z1,R3Z2
1999,R5WX,R4W1,R4X1
1999,R5YZ,R4Y1,R4Z1
1999,R6CH,R5WX,R5YZ
2000,R1W1,W01,W16
2000,R1W2,W02,W15
2000,R1W3,W03,W14
2000,R1W4,W04,W13
2000,R1W5,W05,W12
2000,R1W6,W06,W11
2000,R1W7,W07,W10
2000,R1W8,W08,W09
